타임스탬프,명칭,한자,위치,분류,이미지,기여자 기록용 별명 (한 번만 적어주시면 됩니다)
2024. 6. 25 오후 7:07:11,어영,御營,"1486, 1165",건물,수선전도,
2024. 6. 25 오후 7:08:15,동영,東營,"1446, 1193",건물,수선전도,
2024. 6. 25 오후 7:08:32,황교,黃橋,"1391, 1180",건물,수선전도,
2024. 6. 25 오후 7:09:02,상사동,相思洞,"1360, 1146",지명,수선전도,
2024. 6. 25 오후 7:10:23,선인문,宣仁門,"1282, 1142",문,수선전도,
2024. 6. 25 오후 7:10:54,홍화문,弘化門,"1237, 1129",문,수선전도,
2024. 6. 25 오후 7:11:15,통화문,通化門,"1181, 1132",문,수선전도,
2024. 6. 25 오후 7:11:41,창경궁,昌慶宮,"1201, 1110",건물,수선전도,
2024. 6. 25 오후 7:12:22,월근문,月覲門,"1141, 1168",문,수선전도,
2024. 6. 25 오후 7:12:53,집춘문,集春門,"1105, 1173",문,수선전도,
2024. 6. 25 오후 7:13:21,광지문,廣智門,"1013, 1097",문,수선전도,
2024. 6. 25 오후 7:14:05,공북문,拱北門,"1025, 961",문,수선전도,
2024. 6. 25 오후 7:14:53,경추문,景秋門,"1120, 997",문,수선전도,
2024. 6. 25 오후 7:15:25,요금문,曜金門,"1184, 980",문,수선전도,
2024. 6. 25 오후 7:15:42,창덕궁,昌德宮,"1175, 1033",건물,수선전도,
2024. 6. 25 오후 7:16:12,금호문,金虎門,"1235, 980",문,수선전도,
2024. 6. 25 오후 7:16:48,돈화문,敦化門,"1264, 993",문,수선전도,
2024. 6. 25 오후 7:17:13,단봉문,丹鳳門,"1265, 1037",문,수선전도,
2024. 6. 25 오후 7:17:55,태묘(종묘),太廟,"1430, 1100",건물,수선전도,
2024. 6. 25 오후 7:18:41,후정동,後井洞,"1474, 1120",지명,수선전도,
2024. 6. 25 오후 7:21:10,태전,太廛,"1484, 1083",건물,수선전도,
2024. 6. 25 오후 7:21:45,정동,井洞,"1511, 1088",지명,수선전도,
2024. 6. 25 오후 7:23:39,태묘동,太廟洞,"1494, 1040",지명,수선전도,
2024. 6. 25 오후 7:24:21,좌포도청,左捕,"1507, 1011",건물,수선전도,
2024. 6. 25 오후 7:25:55,한학동,漢學洞,"1465, 960",지명,수선전도,
2024. 6. 25 오후 7:26:26,누정동,樓井洞,"1440, 962",지명,수선전도,
2024. 6. 25 오후 7:26:52,마전동,麻田洞,"1388, 1042",지명,수선전도,
2024. 6. 25 오후 7:27:32,정선방,貞善坊,"1336, 1030",지명,수선전도,
2024. 6. 25 오후 7:28:54,교동,校洞,"1516, 923",지명,수선전도,
2024. 6. 25 오후 7:29:27,평시서,平市署,"1527, 911",건물,수선전도,
2024. 6. 25 오후 7:30:08,철교,鐵橋,"1530, 885",건물,수선전도,
2024. 6. 25 오후 7:30:32,탑동,塔洞,"1470, 896",지명,수선전도,
2024. 6. 25 오후 7:31:04,석정동,石井洞,"1405, 933",지명,수선전도,
2024. 6. 25 오후 7:32:07,동산정동,東山井洞,"1406, 865",지명,수선전도,
2024. 6. 25 오후 7:32:37,관인방,寬仁坊,"1372, 857",지명,수선전도,
2024. 6. 25 오후 7:33:55,대사동,大寺洞,"1503, 849",지명,수선전도,
2024. 6. 25 오후 7:34:27,견평방,堅平坊,"1510, 798",지명,수선전도,
2024. 6. 25 오후 7:35:08,전동,典洞,"1493, 812",지명,수선전도,
2024. 6. 25 오후 7:35:47,회화정동,檜花井洞,"1464, 813",지명,수선전도,
2024. 6. 25 오후 7:36:48,충훈부,忠勳府,"1332, 808",건물,수선전도,
2024. 6. 25 오후 7:38:03,의금부,義禁府,"1510, 766",건물,수선전도,
2024. 6. 25 오후 7:38:35,수진동,壽進洞,"1506, 723",지명,수선전도,
2024. 6. 25 오후 7:39:09,상사동,相思洞,"1514, 696",지명,수선전도,
2024. 6. 25 오후 7:39:32,수진방,壽進坊,"1462, 698",지명,수선전도,
2024. 6. 25 오후 7:39:55,수진궁,壽進宮,"1450, 721",건물,수선전도,
2024. 6. 25 오후 7:40:38,전석동,磚石洞,"1429, 752",지명,수선전도,
2024. 6. 25 오후 7:41:06,개정동,蓋井洞,"1498, 674",지명,수선전도,
2024. 6. 25 오후 7:41:42,제용감,濟用監,"1430, 717",건물,수선전도,
2024. 6. 25 오후 7:42:03,사복시,司僕寺,"1444, 683",건물,수선전도,
2024. 6. 25 오후 7:42:45,중학교,中學橋,"1407, 675",건물,수선전도,
2024. 6. 25 오후 7:43:06,중학,中學,"1384, 677",건물,수선전도,
2024. 6. 25 오후 7:43:30,사포서,司圃署,"1372, 715",건물,수선전도,
2024. 6. 25 오후 7:43:49,송현,松峴,"1344, 741",지명,수선전도,
2024. 6. 25 오후 7:44:38,십자교,十字橋,"1340, 690",건물,수선전도,
2024. 6. 25 오후 7:45:16,벽동,壁洞,"1293, 741",지명,수선전도,
2024. 6. 25 오후 7:45:41,사간원,司諫院,"1251, 706",건물,수선전도,
2024. 6. 25 오후 7:46:13,종부시,宗簿寺,"1200, 729",건물,수선전도,
2024. 6. 25 오후 7:46:56,장생전,長生殿,"1201, 708",건물,수선전도,
2024. 6. 25 오후 7:47:33,관광방,觀光坊,"1164, 704",지명,수선전도,
2024. 6. 25 오후 7:48:21,진장방,鎭長坊,"1115, 734",지명,수선전도,
2024. 6. 25 오후 7:48:53,장원서,掌苑署,"1086, 730",건물,수선전도,
2024. 6. 25 오후 7:50:30,창,倉,"1016, 730",건물,수선전도,
2024. 6. 25 오후 7:51:21,대은암,大隱岩,"1003, 659",지명,수선전도,
2024. 6. 25 오후 7:52:35,맹현,孟峴,"1114, 814",지명,수선전도,
2024. 6. 25 오후 7:53:06,안동,安洞,"1224, 788",지명,수선전도,
2024. 6. 25 오후 7:53:58,안국방,安國坊,"1257, 805",지명,수선전도,
2024. 6. 25 오후 7:57:30,광화문,光化門,"1329, 614",문,수선전도,
2024. 6. 25 오후 7:57:37,소안동,小安洞,"1241, 844",지명,수선전도,
2024. 6. 25 오후 7:58:25,의정부,議政府,"1356, 639",건물,수선전도,
2024. 6. 25 오후 7:58:43,가회방,嘉會坊,"1171, 883",지명,수선전도,
2024. 6. 25 오후 7:58:47,예조,禮曹,"1356, 605",건물,수선전도,
2024. 6. 25 오후 7:59:18,중추부,中樞府,"1379, 608",건물,수선전도,
2024. 6. 25 오후 7:59:32,양덕방,陽德坊,"1105, 920",지명,수선전도,
2024. 6. 25 오후 7:59:41,사헌부,司憲府,"1404, 609",건물,수선전도,
2024. 6. 25 오후 7:59:58,이조,吏曹,"1405, 636",건물,수선전도,
2024. 6. 25 오후 8:00:02,원동,苑洞,"1116, 959",지명,수선전도,
2024. 6. 25 오후 8:00:58,경조(한성부),京兆,"1432, 633",건물,수선전도,
2024. 6. 25 오후 8:01:04,광화방,廣化坊,"1150, 952",지명,수선전도,
2024. 6. 25 오후 8:01:22,병조,兵曹,"1428, 613",지명,수선전도,
2024. 6. 25 오후 8:01:39,형조,刑曹,"1452, 611",건물,수선전도,
2024. 6. 25 오후 8:02:08,호조,戶曹,"1460, 635",건물,수선전도,
2024. 6. 25 오후 8:02:13,의빈부,儀賓府,"1187, 953",건물,수선전도,
2024. 6. 25 오후 8:02:38,공조,工曹,"1470, 613",건물,수선전도,
2024. 6. 25 오후 8:03:04,자문감,紫門監,"1206, 944",건물,수선전도,
2024. 6. 25 오후 8:03:34,서영,西營,"1212, 960",건물,수선전도,
2024. 6. 25 오후 8:05:16,징청방,澄淸坊,"1496, 611",지명,수선전도,
2024. 6. 25 오후 8:05:34,사도시,司導寺,"1245, 961",건물,수선전도,
2024. 6. 25 오후 8:05:47,이간정동,二間井洞,"1496, 611",지명,수선전도,
2024. 6. 25 오후 8:05:59,관상감,觀象監,"1254, 943",건물,수선전도,
2024. 6. 25 오후 8:06:10,기로소,耆老所,"1520, 637",건물,수선전도,
2024. 6. 25 오후 8:06:27,제생동,濟生洞,"1232, 912",지명,수선전도,
2024. 6. 25 오후 8:07:18,혜교,惠橋,"1536, 658",건물,수선전도,
2024. 6. 25 오후 8:07:38,회동,灰洞,"1256, 889",지명,수선전도,
2024. 6. 25 오후 8:08:07,당피동,唐皮洞,"1526, 567",지명,수선전도,
2024. 6. 25 오후 8:08:46,경우궁,慶祐宮,"1289, 933",건물,수선전도,
2024. 6. 25 오후 8:09:46,비국,備局,"1272, 979",건물,수선전도,
2024. 6. 25 오후 8:10:09,비국,備局,"1536, 535",건물,수선전도,
2024. 6. 25 오후 8:10:43,주원(사옹원),廚院,"1286, 977",건물,수선전도,
2024. 6. 25 오후 8:11:05,훈영,訓營,"1523, 509",건물,수선전도,
2024. 6. 25 오후 8:11:07,통례원,通禮院,"1307, 979",건물,수선전도,
2024. 6. 25 오후 8:11:33,내섬시,內贍寺,"1476, 532",건물,수선전도,
2024. 6. 25 오후 8:11:50,봉상시,奉常寺,"1474, 513",지명,수선전도,
2024. 6. 25 오후 8:11:50,경행방,慶幸坊,"1299, 912",지명,수선전도,
2024. 6. 25 오후 8:12:09,순동,巡洞,"1470, 481",지명,수선전도,
2024. 6. 25 오후 8:12:32,이동(니동),泥洞,"1342, 938",지명,수선전도,
2024. 6. 25 오후 8:12:56,경희궁,慶熙宮,"1488, 450",건물,수선전도,
2024. 6. 25 오후 8:13:29,내수사,內需司,"1425, 521",건물,수선전도,
2024. 6. 25 오후 8:14:07,송교,松橋,"1395, 558",건물,수선전도,
2024. 6. 25 오후 8:14:41,승전색교,承傳色橋,"1396, 511",건물,수선전도,
2024. 6. 25 오후 8:15:16,장흥고,長興庫,"1352, 518",건물,수선전도,
2024. 6. 25 오후 8:15:41,신무문,神武門,"1057, 605",문,수선전도,
2024. 6. 25 오후 8:15:48,적선방,積善坊,"1340, 549",지명,수선전도,
2024. 6. 25 오후 8:16:16,연호궁,延祜宮,"1006, 541",건물,수선전도,
2024. 6. 25 오후 8:17:18,육상궁,毓祥宮,"1006, 522",건물,수선전도,
2024. 6. 25 오후 8:17:34,창의궁,彰義宮,"1296, 549",건물,수선전도,
2024. 6. 25 오후 8:17:37,신교,新橋,"1077, 488",건물,수선전도,
2024. 6. 25 오후 8:18:26,의통방,義通坊,"1297, 550",지명,수선전도,
2024. 6. 25 오후 8:18:32,의통방,義通坊,"1110, 533",지명,수선전도,
2024. 6. 25 오후 8:18:53,장동,壯洞,"1110, 502",지명,수선전도,
2024. 6. 25 오후 8:18:59,매동,梅洞,"1280, 518",지명,수선전도,
2024. 6. 25 오후 8:19:18,사재감,司宰監,"1242, 533",건물,수선전도,
2024. 6. 25 오후 8:19:18,옥류동,玉流洞,"1128, 408",지명,수선전도,
2024. 6. 25 오후 8:20:02,순화방,順化坊,"1143, 509",지명,수선전도,
2024. 6. 25 오후 8:20:15,대동,帶洞,"1214, 521",지명,수선전도,
2024. 6. 25 오후 8:20:42,자수교,慈壽橋,"1136, 480",건물,수선전도,
2024. 6. 25 오후 8:20:49,내자시,內資寺,"1359, 497",건물,수선전도,
2024. 6. 25 오후 8:21:39,누각동,樓閣洞,"1195, 416",지명,수선전도,
2024. 6. 25 오후 8:21:44,전립동,典笠洞,"1324, 471",지명,수선전도,
2024. 6. 25 오후 8:22:43,금교,禁橋,"1332, 505",건물,수선전도,
2024. 6. 25 오후 8:23:25,송목동,松木洞,"1354, 425",지명,수선전도,
2024. 6. 25 오후 8:23:57,도가동,都家洞,"1331, 424",지명,수선전도,
2024. 6. 25 오후 8:24:21,사직,社稷,"1314, 403",건물,수선전도,
2024. 6. 25 오후 8:26:22,인달방,仁達坊,"1252, 425",지명,수선전도,
2024. 6. 25 오후 8:27:54,분선공(선공감),分繕工,"1252, 396",건물,수선전도,
2024. 6. 25 오후 8:28:37,체부동,遞付洞,"1282, 473",지명,수선전도,
2024. 8. 10 오전 11:35:05,향원정,香遠亭,"4557, 2077",건물,북궐도형,정현
2024. 8. 10 오전 11:36:00,취향교,醉香橋,"4265, 2081",건물,북궐도형,
2024. 8. 10 오전 11:44:36,정(우물),井,"4251, 1835",미상,북궐도형,
2024. 8. 10 오전 11:46:25,인유문,麟遊門,"4163, 2334",문,북궐도형,
2024. 8. 10 오전 11:50:07,봉집문,鳳集門,"4402, 2415",문,북궐도형,
2024. 8. 10 오전 11:53:20,남여고,藍輿庫,"4495, 2581",건물,북궐도형,
2024. 8. 10 오전 11:53:57,현강문,顯康門,"4519, 2509",문,북궐도형,
2024. 8. 10 오전 11:54:51,정(우물),井,"4625, 2573",미상,북궐도형,
2024. 8. 10 오전 11:55:41,육우정,六隅亭,"4471, 2705",건물,북궐도형,
2024. 8. 10 오전 11:56:27,통화당,通和堂,"4895, 2739",건물,북궐도형,
2024. 8. 10 오전 11:56:59,장고,醬庫,"4873, 2439",건물,북궐도형,
2024. 8. 10 오전 11:57:35,청향문,淸香門,"4896, 2334",문,북궐도형,
2024. 8. 10 오후 12:04:33,현무문,玄武門,"1184, 875",문,북궐도형,
2024. 8. 10 오후 12:07:04,용강문,用康門,"2537, 488",문,북궐도형,
2024. 8. 10 오후 12:08:34,양정재,養正齋,"2360, 734",건물,북궐도형,
2024. 8. 10 오후 12:10:25,만작문,萬秨門,"2342, 1046",문,북궐도형,
2024. 8. 10 오후 12:12:26,지희당,至喜堂,"2515, 664",건물,북궐도형,
2024. 8. 10 오후 12:13:10,관풍루,觀豊樓,"2550, 768",건물,북궐도형,
2024. 8. 10 오후 12:13:35,경농재,慶農齋,"2537, 814",건물,북궐도형,
2024. 8. 10 오후 12:14:01,대유재,大有齋,"2511, 948",건물,북궐도형,
2024. 8. 10 오후 12:14:19,정(우물),井,"2600, 842",미상,북궐도형,
2024. 8. 10 오후 12:15:50,후재문,厚載門,"2435, 735",문,북궐도형,
2024. 8. 10 오후 12:16:34,수풍문,綏豊門,"2542, 1103",문,북궐도형,
2024. 8. 10 오후 12:19:41,관가문,觀稼門,"2718, 1211",문,북궐도형,
2024. 8. 10 오후 12:20:27,중일각,中一閣,"2493, 1152",건물,북궐도형,
2024. 8. 10 오후 12:21:35,수궁,守宮,"2354, 1549",건물,북궐도형,
2024. 8. 10 오후 12:22:33,용무문,用武門,"2122, 2146",문,북궐도형,
2024. 8. 10 오후 12:23:20,춘안당,春安堂,"2211, 2086",건물,북궐도형,
2024. 8. 10 오후 12:23:51,영원문,永元門,"2277, 2100",문,북궐도형,
2024. 8. 10 오후 12:24:17,소춘문,小春門,"2198, 2178",문,북궐도형,
2024. 8. 10 오후 12:24:47,무숙문,武肅門,"2241, 2182",문,북궐도형,
2024. 8. 10 오후 12:26:47,삼춘문,三春門,"2193, 2438",문,북궐도형,
2024. 8. 10 오후 12:27:10,문안문,文安門,"2245, 2402",문,북궐도형,
2024. 8. 10 오후 12:27:41,경춘문,景春門,"2248, 2319",문,북궐도형,
2024. 8. 10 오후 12:28:10,융문당,隆文堂,"2243, 2268",건물,북궐도형,
2024. 8. 10 오후 12:29:25,경무문,景武門,"2125, 2266",문,북궐도형,
2024. 8. 10 오후 12:30:25,일춘문,一春門,"2976, 2601",문,북궐도형,
2024. 8. 10 오후 12:30:44,이춘문,二春門,"2763, 2599",문,북궐도형,
2024. 8. 10 오후 12:31:11,융무당,隆武堂,"2869, 2557",건물,북궐도형,
2024. 8. 10 오후 12:32:37,본시문,本始門,"2814, 2557",문,북궐도형,
2024. 8. 10 오후 12:33:22,벽화실,碧華室,"1512, 1653",건물,북궐도형,
2024. 8. 10 오후 12:35:02,천하제일복지,天下第一福地,"1253, 1797",미상,북궐도형,
2024. 8. 10 오후 12:35:29,옥련정,玉蓮亭,"1367, 1957",건물,북궐도형,
2024. 8. 10 오후 12:35:58,오운각,五雲閣,"1383, 1703",건물,북궐도형,
2024. 8. 10 오후 6:41:15,춘생문,春生門,"3708, 3346",문,북궐도형,
2024. 8. 10 오후 6:41:39,춘화문,春和門,"3684, 3234",문,북궐도형,
2024. 8. 10 오후 6:42:05,춘도문,春到門,"3645, 2922",문,북궐도형,
2024. 8. 10 오후 6:42:21,수문,水門,"3705, 2980",문,북궐도형,
2024. 8. 10 오후 6:43:01,금위군직소,禁衛軍直所,"3418, 3024",건물,북궐도형,
2024. 8. 10 오후 6:43:25,수궁,守宮,"3329, 2837",건물,북궐도형,
2024. 8. 10 오후 6:44:15,광무문,廣武門,"3664, 2572",문,북궐도형,
2024. 8. 10 오후 6:44:46,무령문,武寧門,"3708, 2532",문,북궐도형,
2024. 8. 10 오후 6:45:26,경화문,瓊華門,"3720, 2322",문,북궐도형,
2024. 8. 10 오후 6:46:05,청휘문,淸輝門,"3867, 2320",문,북궐도형,
2024. 8. 10 오후 6:46:40,사시향루,四時香樓,"3899, 2249",건물,북궐도형,
2024. 8. 10 오후 6:50:39,옥호루,玉壺樓,"3913, 2246",건물,북궐도형,
2024. 8. 10 오후 6:51:15,곤녕합,坤寧閤,"3909, 2199",건물,북궐도형,
2024. 8. 10 오후 6:51:47,정시합,正始閤,"3851, 2231",건물,북궐도형,
2024. 8. 10 오후 6:52:25,녹금당,綠琴堂,"3824, 2168",건물,북궐도형,
2024. 8. 10 오후 6:53:01,복수당,福綏堂,"3748, 2249",건물,북궐도형,
2024. 8. 10 오후 6:53:38,계무문,癸武門,"3570, 1920",문,북궐도형,
2024. 8. 10 오후 6:54:15,무청문,武淸門,"3636, 1940",문,북궐도형,
2024. 8. 10 오후 6:54:30,수문,水門,"3526, 1765",문,북궐도형,
2024. 8. 10 오후 6:54:55,취규문,聚奎門,"3700, 1968",문,북궐도형,
2024. 8. 10 오후 6:55:22,관명문,觀明門,"3798, 1968",문,북궐도형,
2024. 8. 10 오후 6:56:01,정화당,正化堂,"3940, 2019",건물,북궐도형,
2024. 8. 10 오후 6:56:34,장안당,長安堂,"4008, 2070",건물,북궐도형,
2024. 8. 10 오후 6:57:19,추수부용루,秋水芙蓉樓,"4038, 2000",건물,북궐도형,
2024. 8. 10 오후 6:58:10,파수간,把守間,"4063, 2167",건물,북궐도형,
2024. 8. 10 오후 7:00:57,초양문,初陽門,"4084, 2162",문,북궐도형,
2024. 8. 10 오후 7:01:43,필성문,弼成門,"4096, 1966",문,북궐도형,
2024. 8. 10 오후 7:02:03,건청궁,乾淸宮,"4137, 2200",건물,북궐도형,
2024. 8. 10 오후 7:04:23,함광문,含光門,"4004, 2261",문,북궐도형,
2024. 8. 11 오후 2:48:41,녹직처소,鹿直處所,"4337, 2935",건물,북궐도형,
2024. 8. 11 오후 2:49:03,영선문,永善門,"4434, 3032",문,북궐도형,
2024. 8. 11 오후 2:49:25,덕풍문,德豊門,"4536, 3046",문,북궐도형,
2024. 8. 11 오후 2:49:50,현상문,顯相門,"4595, 3080",문,북궐도형,
2024. 8. 11 오후 2:50:18,내재실,內齋室,"4573, 3167",건물,북궐도형,
2024. 8. 11 오후 2:50:48,진설청,陳設廳,"4684, 3163",건물,북궐도형,
2024. 8. 11 오후 2:51:18,선원전,璿源殿,"4686, 3293",건물,북궐도형,
2024. 8. 11 오후 2:51:47,배위청,拜位廳,"4735, 3390",건물,북궐도형,
2024. 8. 11 오후 2:52:29,목림문,穆臨門,"4865, 3310",문,북궐도형,
2024. 8. 11 오후 2:53:12,시약문,是若門,"4815, 2981",문,북궐도형,
2024. 8. 11 오후 2:56:27,오소문,於昭門,"4522, 3394",문,북궐도형,
2024. 8. 11 오후 2:57:38,경안당,敬安堂,"4547, 3568",건물,북궐도형,
2024. 8. 11 오후 2:58:05,관광문,觀光門,"4620, 3502",문,북궐도형,
2024. 8. 11 오후 2:58:25,성안문,成安門,"4667, 3585",문,북궐도형,
2024. 8. 11 오후 2:58:49,태륭문,泰隆門,"4664, 3477",문,북궐도형,
2024. 8. 11 오후 2:59:09,정(우물),井,"4693, 3524",미상,북궐도형,
2024. 8. 11 오후 2:59:48,보명문,保明門,"4762, 3719",문,북궐도형,
2024. 8. 11 오후 3:00:09,사오문,思五門,"4839, 3648",문,북궐도형,
2024. 8. 11 오후 3:00:58,향욱문,嚮旭門,"4895, 3790",문,북궐도형,
2024. 8. 11 오후 3:01:31,연숙문,延肅門,"4894, 3587",문,북궐도형,
2024. 8. 11 오후 3:02:08,경녕문,敬寧門,"4737, 3505",문,북궐도형,
2024. 8. 11 오후 3:02:50,진설청,陳設廳,"4683, 3422",건물,북궐도형,
2024. 8. 11 오후 3:04:29,청★문,淸★門,"4796, 3131",문,북궐도형,
2024. 8. 11 오후 3:04:48,정(우물),井,"4744, 3104",미상,북궐도형,
2024. 8. 11 오후 3:05:30,유각문,有恪門,"4859, 3118",문,북궐도형,
2024. 8. 11 오후 3:06:25,숙경재,肅敬齋,"4760, 3033",건물,북궐도형,
2024. 8. 11 오후 3:07:51,★림문,★臨門,"4865, 3476",문,북궐도형,
2024. 8. 11 오후 3:09:12,화락당,和樂堂,"5028, 3570",건물,북궐도형,
2024. 8. 11 오후 3:09:45,정(우물),井,"5415, 3601",미상,북궐도형,
2024. 8. 11 오후 3:10:12,벽월당,碧月堂,"5697, 3505",건물,북궐도형,
2024. 8. 11 오후 8:57:12,정(우물),井,"4974, 3174",미상,북궐도형,
2024. 8. 11 오후 8:58:25,진전소주방,眞殿燒廚房,"5034, 3238",건물,북궐도형,
2024. 8. 11 오후 8:58:53,선양문,宣陽門,"5059, 2918",문,북궐도형,
2024. 8. 11 오후 8:59:22,선가당,宣嘉堂,"5047, 2874",건물,북궐도형,
2024. 8. 11 오후 8:59:49,협강문,協康門,"5262, 2874",문,북궐도형,
2024. 8. 11 오후 9:00:17,응춘문,凝春門,"5203, 2920",문,북궐도형,
2024. 8. 11 오후 9:00:51,벽혜당,碧蕙堂,"5275, 3064",건물,북궐도형,
2024. 8. 11 오후 9:01:28,대향당,戴香堂,"5195, 3270",건물,북궐도형,
2024. 8. 11 오후 9:03:34,정훈당,定薰堂,"5291, 3267",건물,북궐도형,
2024. 8. 11 오후 9:04:11,요광당,瑤光堂,"5437, 3269",건물,북궐도형,
2024. 8. 11 오후 9:04:48,외소주방,外燒廚房,"5467, 3281",건물,북궐도형,
2024. 8. 11 오후 9:05:22,내소주방,內燒廚房,"5465, 3056",건물,북궐도형,
2024. 8. 11 오후 9:05:58,건기당,建綺堂,"5436, 3064",건물,북궐도형,
2024. 8. 11 오후 9:06:27,인양문,寅陽門,"5354, 2895",건물,북궐도형,
2024. 8. 11 오후 9:06:50,함춘문,咸春門,"5468, 2895",문,북궐도형,
2024. 8. 11 오후 9:07:17,광의문,廣宜門,"5555, 2851",문,북궐도형,
2024. 8. 11 오후 9:08:09,보화문,輔化門,"5592, 2903",문,북궐도형,
2024. 8. 11 오후 9:08:44,영보당,永寶堂,"5664, 3300",건물,북궐도형,
2024. 8. 11 오후 9:09:07,정(우물),井,"5808, 3161",미상,북궐도형,
2024. 8. 11 오후 9:09:47,제수합,齊壽閤,"5713, 2968",건물,북궐도형,
2024. 8. 11 오후 9:10:18,함훈문,含薰門,"5786, 2961",문,북궐도형,
2024. 8. 11 오후 9:11:05,후령문,厚寧門,"5739, 2883",문,북궐도형,
2024. 8. 11 오후 9:11:52,건경문,建慶門,"5683, 2838",문,북궐도형,
2024. 8. 11 오후 9:12:18,청화문,淸華門,"5767, 2841",문,북궐도형,
2024. 8. 11 오후 9:13:32,수복문,綏福門,"5790, 2839",문,북궐도형,
2024. 8. 11 오후 9:14:45,★★문,★★門,"4969, 3383",문,북궐도형,
2024. 8. 11 오후 9:16:34,취운당,翠雲堂,"5842, 3412",건물,북궐도형,
2024. 8. 11 오후 9:17:18,수방,繡房,"5867, 3423",건물,북궐도형,
2024. 8. 11 오후 9:18:50,응향당,凝香堂,"5978, 3492",건물,북궐도형,
2024. 8. 11 오후 9:19:17,계응당,桂凝堂,"6103, 3460",건물,북궐도형,
2024. 8. 11 오후 9:20:14,협광문,協光門,"6619, 3434",문,북궐도형,
2024. 8. 11 오후 9:21:06,춘소당,春昭堂,"5844, 3237",건물,북궐도형,
2024. 8. 11 오후 9:21:20,침방,針房,"5866, 3246",건물,북궐도형,
2024. 8. 11 오후 9:21:56,벽하당,碧霞堂,"5962, 3205",건물,북궐도형,
2024. 8. 11 오후 9:22:41,함정당,含靜堂,"6149, 3237",건물,북궐도형,
2024. 8. 11 오후 9:23:01,외소주방,外燒廚房,"6182, 3247",건물,북궐도형,
2024. 8. 11 오후 9:23:27,함량문,含凉門,"6269, 3237",문,북궐도형,
2024. 8. 11 오후 9:23:55,자운당,紫雲堂,"6385, 3207",건물,북궐도형,
2024. 8. 11 오후 9:24:21,보월당,寶月堂,"6385, 3064",건물,북궐도형,
2024. 8. 11 오후 9:25:27,응취문,凝翠門,"6649, 3380",문,북궐도형,
2024. 8. 11 오후 9:26:18,창차비,唱差備,"6640, 3364",미상,북궐도형,
2024. 8. 11 오후 9:26:51,임향당,臨香堂,"6226, 3033",건물,북궐도형,
2024. 8. 11 오후 9:27:17,생물방,生物房,"6121, 3041",건물,북궐도형,
2024. 8. 11 오후 9:27:45,예춘당,禮春堂,"6084, 3030",건물,북궐도형,
2024. 8. 11 오후 9:28:10,자광문,紫光門,"6162, 2953",문,북궐도형,
2024. 8. 11 오후 9:29:43,벽랑문,碧琅門,"6144, 3094",문,북궐도형,
2024. 8. 11 오후 9:30:10,집희전,集禧殿,"5867, 3031",건물,북궐도형,
2024. 8. 11 오후 9:30:36,덕광문,德光門,"5899, 2901",문,북궐도형,
2024. 8. 11 오후 9:31:09,수상문,綏祥門,"5824, 2837",문,북궐도형,
2024. 8. 11 오후 9:31:41,천춘문,千春門,"6052, 2857",문,북궐도형,
2024. 8. 11 오후 9:32:15,함의당,咸宜堂,"6114, 2848",건물,북궐도형,
2024. 8. 11 오후 9:33:44,녹운문,綠雲門,"6176, 2907",문,북궐도형,
2024. 8. 11 오후 9:36:15,건춘문,建春門,"7603, 3432",문,북궐도형,
2024. 8. 11 오후 9:37:12,자취문,紫翠門,"6756, 3226",문,북궐도형,
2024. 8. 11 오후 9:39:19,보계문,寶桂門,"6758, 3095",문,북궐도형,
2024. 8. 11 오후 9:40:00,비현합,丕顯閤,"6886, 2922",건물,북궐도형,
2024. 8. 11 오후 9:40:43,장방,長房,"6853, 3112",건물,북궐도형,
2024. 8. 11 오후 9:40:57,장방,長房,"6853, 3185",건물,북궐도형,
2024. 8. 11 오후 9:41:09,장방,長房,"6852, 3269",건물,북궐도형,
2024. 8. 11 오후 9:41:38,태명문,泰明門,"6988, 3044",문,북궐도형,
2024. 8. 11 오후 9:41:57,장방,長房,"7012, 3279",건물,북궐도형,
2024. 8. 11 오후 9:42:21,등촉방,燈燭房,"7013, 3195",건물,북궐도형,
2024. 8. 11 오후 9:42:43,수라간,水刺間,"7013, 3125",건물,북궐도형,
2024. 8. 11 오후 9:43:27,수라문,水刺門,"7060, 3079",문,북궐도형,
2024. 8. 11 오후 9:43:57,구현문,求賢門,"7061, 3011",문,북궐도형,
2024. 8. 11 오후 9:52:05,별감방,別監房,"7169, 3219",건물,북궐도형,
2024. 8. 11 오후 9:52:32,연청문,延淸門,"7188, 3367",문,북궐도형,
2024. 8. 11 오후 9:53:06,수문장청,守門將廳,"7434, 3332",건물,북궐도형,
2024. 8. 11 오후 9:53:33,주모문,周謨門,"7304, 3131",문,북궐도형,
2024. 8. 11 오후 9:54:21,춘방,春坊,"7378, 2910",건물,북궐도형,
2024. 8. 11 오후 9:54:45,계방,桂房,"7506, 2908",건물,북궐도형,
2024. 8. 11 오후 9:55:42,원역처소,員役處所,"7231, 2959",건물,북궐도형,
2024. 8. 11 오후 9:56:21,이모문,貽謨門,"7091, 2914",문,북궐도형,
2024. 8. 11 오후 9:57:02,이극문,貳極門,"7155, 3011",문,북궐도형,
2024. 8. 12 오후 1:57:05,십자각,十字閣,"9043, 3435",건물,북궐도형,
2024. 8. 12 오후 1:58:21,초관처소,哨官處所,"7906, 3320",건물,북궐도형,
